Time,X,Y
7891.0999999996275,264,310
7907.5999999996275,266,317
7924.699999999255,266,317
7940.799999998882,266,310
7957,266,310
7974.299999998882,266,311
7990.39999999851,266,311
8008.5,266,311
8024.299999998882,266,311
8042.5,266,311
8058.5,266,310
8074.299999998882,266,310
8091.5999999996275,266,311
8108.299999998882,266,311
8124.299999998882,266,311
8140.89999999851,265,310
8156.5999999996275,265,310
8174.199999999255,265,310
8191.299999998882,266,310
8206.799999998882,266,310
8224.699999999255,267,317
8240.89999999851,267,317
8258.099999999627,267,317
8274.099999999627,267,317
8291.199999999255,270,313
8307.599999999627,270,313
8324.299999998882,265,315
8340.39999999851,265,315
8357.89999999851,265,315
8374.599999999627,268,313
8390.799999998882,268,313
8407.89999999851,268,313
8424.199999999255,268,313
8441.199999999255,270,314
8457.5,270,314
8474.599999999627,269,313
8490.89999999851,269,313
8508.199999999255,272,319
8524.299999998882,272,319
8541.39999999851,267,319
8557.599999999627,267,319
8574.099999999627,267,319
8591.5,270,315
8607.099999999627,270,315
8624.599999999627,268,320
8640.799999998882,268,320
8657.89999999851,272,316
8673.599999999627,272,316
8691.199999999255,271,317
8707.099999999627,271,317
8724.799999998882,274,317
8741.699999999255,271,321
8757.699999999255,271,321
8774.89999999851,274,317
8791.099999999627,274,317
8807.89999999851,275,317
8824.199999999255,275,317
8841.199999999255,275,317
8857.699999999255,275,317
8874.299999998882,275,317
8891.299999998882,274,317
8907.599999999627,274,317
8924.599999999627,272,320
8940.099999999627,272,320
8959.39999999851,276,318
8974.599999999627,271,322
8990.89999999851,271,322
9007.799999998882,273,324
9024.099999999627,273,324
9041.199999999255,274,319
9057.699999999255,274,319
9074.5,271,325
9090.099999999627,271,325
9107.799999998882,275,326
9123.39999999851,275,326
9141.299999998882,269,326
9157.5,269,326
9174.799999998882,268,320
9190.89999999851,268,320
9206.799999998882,268,320
9224.099999999627,264,315
9241.099999999627,264,315
9258.299999998882,259,308
9274,260,290
9291,260,290
9307.699999999255,259,289
9324.299999998882,259,289
9341.5,263,270
9357.599999999627,263,270
9373.89999999851,263,270
9391.89999999851,267,250
9408,267,250
9424.199999999255,270,228
9441.299999998882,270,228
9458.89999999851,274,204
9475.199999999255,274,204
9492,275,180
9508.39999999851,275,180
9524.89999999851,279,180
9541.299999998882,279,180
9558.199999999255,291,161
9574.699999999255,291,161
9592.199999999255,296,161
9608.39999999851,298,156
9624.5,298,156
9640.699999999255,298,156
9658.699999999255,302,159
9674,302,159
9691.799999998882,302,153
9707.099999999627,302,153
9725.39999999851,304,151
9741.199999999255,308,152
9757.5,308,152
9774.39999999851,308,152
9792.199999999255,310,152
9807.89999999851,310,152
9824.799999998882,301,161
9841.599999999627,301,161
9858.299999998882,311,147
9876.599999999627,311,147
9891.099999999627,316,154
9907.099999999627,316,154
9924.699999999255,319,163
9942,323,175
9958,323,175
9974.099999999627,323,175
9992.199999999255,329,193
10007.89999999851,329,193
10024.699999999255,333,212
10041.299999998882,333,212
10058.89999999851,339,231
10074.89999999851,339,231
10091.599999999627,345,248
10107.599999999627,345,248
